epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,491.245,0.83734,0.42946,0.79081,0.99925,1,0.995,0.70885,0.98272,0.47315,0.78238,0.00102184,0.00102184,0.00102184
45,496.029,0.79101,0.40253,0.78855,0.99905,1,0.995,0.78601,0.76858,0.40658,0.77174,0.000996456,0.000996456,0.000996456
46,500.946,0.76122,0.40873,0.78775,0.99697,1,0.995,0.76684,0.80963,0.46263,0.7723,0.000970919,0.000970919,0.000970919
47,505.93,0.78008,0.41145,0.7819,0.99816,1,0.995,0.75888,0.83306,0.4753,0.77357,0.000945256,0.000945256,0.000945256
48,510.728,0.76023,0.39028,0.78202,0.99919,1,0.995,0.75521,0.84624,0.48321,0.77492,0.00091949,0.00091949,0.00091949
49,515.804,0.77428,0.40322,0.77947,0.99931,1,0.995,0.74114,0.87083,0.4584,0.77478,0.000893648,0.000893648,0.000893648
50,520.648,0.77588,0.40816,0.78523,0.99935,1,0.995,0.77259,0.83874,0.45386,0.77572,0.000867754,0.000867754,0.000867754
51,525.504,0.78985,0.40973,0.77349,0.99826,1,0.995,0.76557,0.78917,0.4326,0.77203,0.000841835,0.000841835,0.000841835
52,530.347,0.76222,0.39907,0.78738,0.99872,1,0.995,0.79026,0.74633,0.41979,0.77092,0.000815916,0.000815916,0.000815916
53,535.215,0.75973,0.3921,0.77918,0.99923,1,0.995,0.78665,0.80761,0.45744,0.7737,0.000790022,0.000790022,0.000790022
54,540.012,0.75746,0.39578,0.78523,0.99814,1,0.995,0.76314,0.79012,0.43739,0.77301,0.00076418,0.00076418,0.00076418
55,544.845,0.75785,0.39021,0.78578,0.99914,1,0.995,0.7734,0.81121,0.44632,0.77217,0.000738414,0.000738414,0.000738414
56,549.74,0.74181,0.38789,0.78398,0.99798,1,0.995,0.78536,0.79964,0.43534,0.77106,0.000712751,0.000712751,0.000712751
57,554.548,0.72549,0.38317,0.77911,1,0.99708,0.995,0.79273,0.75253,0.41221,0.76793,0.000687214,0.000687214,0.000687214
58,559.4,0.74367,0.38269,0.78184,0.99763,1,0.995,0.75835,0.83166,0.44966,0.76924,0.000661831,0.000661831,0.000661831
59,564.143,0.72913,0.37665,0.76846,0.99595,1,0.995,0.79305,0.7361,0.412,0.76662,0.000636625,0.000636625,0.000636625
60,569.018,0.72248,0.36913,0.77694,0.99913,1,0.995,0.79024,0.74858,0.41233,0.76731,0.000611621,0.000611621,0.000611621
61,573.776,0.71627,0.37094,0.78225,0.99922,1,0.995,0.80284,0.73483,0.41229,0.76614,0.000586845,0.000586845,0.000586845
62,578.673,0.72617,0.37998,0.77487,0.99636,1,0.995,0.78226,0.75377,0.41972,0.76365,0.00056232,0.00056232,0.00056232
