epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,172.131,0.78266,0.60111,0.63306,1.01186,0,0.79643,0.75926,0.75762,0.54704,0.93307,0.88889,0.90797,0.48224,1.18385,0.41615,0.88871,1.10027,0,0.0016647,0.0016647,0.0016647
29,178.112,0.765,0.63535,0.62531,1.02734,0,0.84367,0.79956,0.81297,0.53495,0.94128,0.89057,0.92747,0.49534,1.31386,0.42242,0.90912,1.17785,0,0.00164105,0.00164105,0.00164105
30,184.13,0.75651,0.59278,0.61421,1.02131,0,0.89042,0.90291,0.89377,0.60415,0.89042,0.90291,0.89377,0.54086,1.05087,0.38662,0.75514,1.06612,0,0.00161678,0.00161678,0.00161678
31,190.037,0.75407,0.61376,0.61196,1.01534,0,0.87917,0.87037,0.9093,0.61616,0.87917,0.87037,0.91944,0.54599,0.98888,0.47531,0.93527,0.97418,0,0.00159191,0.00159191,0.00159191
32,196.129,0.76369,0.59304,0.62142,1.02553,0,0.88819,0.81481,0.87123,0.49813,0.97265,0.88889,0.96566,0.53784,1.46525,0.39443,0.85265,1.24376,0,0.00156646,0.00156646,0.00156646
33,202.188,0.74373,0.59878,0.59394,1.00551,0,0.99523,0.90741,0.91263,0.59295,0.99523,0.90741,0.90689,0.51925,1.16392,0.41882,0.86273,1.11503,0,0.00154047,0.00154047,0.00154047
34,208.166,0.73847,0.58877,0.59182,1.00247,0,0.99592,0.90741,0.94982,0.58397,0.99592,0.90741,0.93021,0.5547,1.12015,0.44291,0.79473,1.19876,0,0.00151395,0.00151395,0.00151395
35,214.418,0.72669,0.57043,0.56551,1.00534,0,0.99957,0.96296,0.98328,0.62522,1,0.94244,0.9487,0.59311,1.07984,0.35945,0.65642,1.11661,0,0.00148694,0.00148694,0.00148694
36,220.443,0.71705,0.6134,0.57754,0.99825,0,0.99565,0.94444,0.96723,0.66221,0.99565,0.94444,0.96723,0.6032,1.02395,0.37801,0.83814,1.04381,0,0.00145945,0.00145945,0.00145945
37,226.583,0.73409,0.5837,0.58567,1.0042,0,0.94242,0.90928,0.9317,0.61881,0.98029,0.92089,0.93011,0.61504,1.12795,0.35951,0.76597,1.14016,0,0.00143152,0.00143152,0.00143152
38,232.562,0.71392,0.58064,0.57466,1.0138,0,0.94305,0.92009,0.95454,0.66967,0.98415,0.90741,0.96674,0.59207,1.07179,0.4105,0.6088,1.09104,0,0.00140318,0.00140318,0.00140318
39,238.452,0.67329,0.59567,0.54931,0.9914,0,0.99121,0.90741,0.92502,0.64049,0.99121,0.90741,0.92579,0.60638,0.98026,0.41122,0.68553,1.03299,0,0.00137444,0.00137444,0.00137444
